kommun,kommun_normalized,unemployment_2018,unemployment_2022,unemployment_rate_2018,unemployment_rate_2022
Surahammar,surahammar,283,290,155.49,151.83
Åre,are,392,257,186.67,214.17
Olofström,olofstrom,648,495,145.62,169.52
Norrköping,norrkoping,7434,6501,142.47,145.89
Solna,solna,1848,2036,193.10,174.02
Norrtälje,norrtalje,1264,1484,191.23,162.19
Höör,hoor,433,395,165.27,171.00
Skellefteå,skelleftea,2013,1237,183.67,183.53
Mora,mora,339,382,210.56,170.54
Finspång,finspang,989,813,138.90,138.27
Forshaga,forshaga,312,318,210.81,151.43
Mullsjö,mullsjo,138,139,184.00,182.89
Vadstena,vadstena,202,161,156.59,175.00
Ulricehamn,ulricehamn,537,458,167.29,168.38
Högsby,hogsby,369,222,130.39,174.80
Ljungby,ljungby,829,715,159.12,151.16
Hallsberg,hallsberg,569,439,153.37,148.81
Arjeplog,arjeplog,100,48,227.27,342.86
Falköping,falkoping,1301,1044,157.70,150.43
Vännäs,vannas,234,187,161.38,170.00
Hjo,hjo,217,174,160.74,177.55
Herrljunga,herrljunga,189,180,153.66,171.43
Vansbro,vansbro,110,119,148.65,145.12
Lysekil,lysekil,354,364,149.37,166.97
Dals-Ed,dals-ed,118,106,138.82,170.97
