kommun,kommun_normalized,unemployment_2018,unemployment_2022,population_2018,population_2022,unemployment_rate_2018,unemployment_rate_2022
Kramfors,kramfors,804,584,18423,17904,4.36,3.26
Sorsele,sorsele,66,51,2522,2436,2.62,2.09
Umeå,umea,3364,2845,127119,132235,2.65,2.15
Storuman,storuman,142,113,5912,5747,2.40,1.97
Skurup,skurup,516,465,15759,16731,3.27,2.78
Hedemora,hedemora,529,497,15457,15443,3.42,3.22
Kil,kil,266,277,11962,12115,2.22,2.29
Östra Göinge,ostra goinge,871,665,14915,14577,5.84,4.56
Kumla,kumla,509,565,21640,22479,2.35,2.51
Töreboda,toreboda,374,280,9312,9186,4.02,3.05
Knivsta,knivsta,308,407,18720,20133,1.65,2.02
Örkelljunga,orkelljunga,334,277,10174,10455,3.28,2.65
Sjöbo,sjobo,482,473,19153,19547,2.52,2.42
Gnosjö,gnosjo,245,194,9776,9438,2.51,2.06
Stockholm,stockholm,29926,33202,962154,984748,3.11,3.37
Sollefteå,solleftea,828,558,19500,18667,4.25,2.99
Grums,grums,255,327,9016,9105,2.83,3.59
Nacka,nacka,2426,2125,103656,109486,2.34,1.94
Valdemarsvik,valdemarsvik,269,196,7956,7630,3.38,2.57
Pajala,pajala,155,69,6039,5883,2.57,1.17
Arvidsjaur,arvidsjaur,238,142,6334,6111,3.76,2.32
Halmstad,halmstad,3763,3573,101268,105148,3.72,3.40
Kungälv,kungalv,706,866,45086,49068,1.57,1.76
Oskarshamn,oskarshamn,902,722,26928,27028,3.35,2.67
Lidköping,lidkoping,909,809,39879,40457,2.28,2.00
Tranås,tranas,709,532,18987,18804,3.73,2.83
Åstorp,astorp,706,715,15987,16341,4.42,4.38
Heby,heby,313,413,13910,14421,2.25,2.86
Lekeberg,lekeberg,130,156,8116,8756,1.60,1.78
Filipstad,filipstad,512,422,10837,10315,4.72,4.09
Hofors,hofors,429,376,9602,9472,4.47,3.97
Säter,sater,159,206,11123,11271,1.43,1.83
Munkedal,munkedal,264,246,10503,10578,2.51,2.33
Ödeshög,odeshog,162,117,5323,5317,3.04,2.20
Älvsbyn,alvsbyn,267,194,8140,7911,3.28,2.45
Smedjebacken,smedjebacken,209,240,10897,10922,1.92,2.20
Kristinehamn,kristinehamn,1077,867,24336,24053,4.43,3.60
Linköping,linkoping,4631,4729,161034,166673,2.88,2.84
Ockelbo,ockelbo,304,222,5906,5821,5.15,3.81
Hässleholm,hassleholm,2334,2109,52121,52369,4.48,4.03
Örnsköldsvik,ornskoldsvik,2134,1508,56089,55557,3.80,2.71
Ronneby,ronneby,1757,1407,29695,29169,5.92,4.82
Lomma,lomma,356,361,24763,24721,1.44,1.46
Mjölby,mjolby,854,707,27373,28471,3.12,2.48
Årjäng,arjang,217,192,10011,9914,2.17,1.94
Vellinge,vellinge,652,535,36499,37821,1.79,1.41
Sotenäs,sotenas,143,132,9030,9160,1.58,1.44
Jokkmokk,jokkmokk,152,72,5001,4760,3.04,1.51
Skara,skara,661,495,18829,18755,3.51,2.64
Jönköping,jonkoping,3495,3593,139222,145114,2.51,2.48
Örebro,orebro,5614,5862,153367,158057,3.66,3.71
Eskilstuna,eskilstuna,6120,5947,105924,107918,5.78,5.51
Avesta,avesta,1067,890,23323,22932,4.57,3.88
Borås,boras,3855,3532,112178,114445,3.44,3.09
Varberg,varberg,1401,1071,63630,67800,2.20,1.58
Grästorp,grastorp,112,96,5731,5646,1.95,1.70
Berg,berg,185,140,7097,7176,2.61,1.95
Upplands Väsby,upplands vasby,1480,1805,45543,49262,3.25,3.66
Falkenberg,falkenberg,1389,1235,44701,47017,3.11,2.63
Nora,nora,343,284,10737,10701,3.19,2.65
Fagersta,fagersta,715,634,13464,13341,5.31,4.75
Malung-Sälen,malung-salen,229,175,10106,10258,2.27,1.71
Bräcke,bracke,254,158,6376,6162,3.98,2.56
Bjurholm,bjurholm,86,53,2450,2372,3.51,2.23
Simrishamn,simrishamn,588,432,19278,19074,3.05,2.26
Trosa,trosa,229,228,13309,14760,1.72,1.54
Karlshamn,karlshamn,1390,1193,32330,32216,4.30,3.70
Nyköping,nykoping,2001,2026,56011,58021,3.57,3.49
Ängelholm,angelholm,1148,956,42131,44268,2.72,2.16
Helsingborg,helsingborg,6814,7170,145415,150975,4.69,4.75
Staffanstorp,staffanstorp,523,569,24724,26778,2.12,2.12
Kalmar,kalmar,2369,1995,68510,72018,3.46,2.77
Söderhamn,soderhamn,1204,1115,25721,25258,4.68,4.41
Ale,ale,621,622,30926,32394,2.01,1.92
Bengtsfors,bengtsfors,465,293,9846,9255,4.72,3.17
Torsby,torsby,245,251,11719,11411,2.09,2.20
Tranemo,tranemo,279,190,11874,11940,2.35,1.59
Gagnef,gagnef,136,147,10271,10499,1.32,1.40
Aneby,aneby,168,195,6832,6824,2.46,2.86
Botkyrka,botkyrka,4885,5388,93106,95383,5.25,5.65
Malmö,malmo,22185,20587,339313,357377,6.54,5.76
Gotland,gotland,1457,1201,59249,61173,2.46,1.96
Växjö,vaxjo,3546,3304,92567,97137,3.83,3.40
Tierp,tierp,795,722,21127,21406,3.76,3.37
Falun,falun,1541,1283,58923,59818,2.62,2.14
Klippan,klippan,622,531,17600,17865,3.53,2.97
Borgholm,borgholm,307,187,10873,10857,2.82,1.72
Gislaved,gislaved,932,830,29857,29481,3.12,2.82
Säffle,saffle,708,625,15643,15242,4.53,4.10
Hörby,horby,465,398,15635,15718,2.97,2.53
Robertsfors,robertsfors,153,103,6762,6759,2.26,1.52
Sävsjö,savsjo,435,350,11631,11771,3.74,2.97
Öckerö,ockero,163,160,12945,12800,1.26,1.25
Eda,eda,193,222,8575,8535,2.25,2.60
Överkalix,overkalix,96,71,3302,3160,2.91,2.25
Svalöv,svalov,437,411,14123,14466,3.09,2.84
Bromölla,bromolla,516,496,12876,12633,4.01,3.93
Piteå,pitea,1207,923,42116,42362,2.87,2.18
Arvika,arvika,601,541,26082,25832,2.30,2.09
Karlskoga,karlskoga,992,922,30419,30278,3.26,3.05
Värnamo,varnamo,888,787,34428,34692,2.58,2.27
Landskrona,landskrona,2461,2109,45775,47004,5.38,4.49
Eksjö,eksjo,559,509,17667,17858,3.16,2.85
Vindeln,vindeln,127,100,5436,5504,2.34,1.82
Ljusdal,ljusdal,700,591,19033,18771,3.68,3.15
Orust,orust,262,241,15110,15415,1.73,1.56
Kalix,kalix,390,336,16058,15729,2.43,2.14
Bollebygd,bollebygd,165,148,9427,9703,1.75,1.53
Boxholm,boxholm,139,116,5449,5498,2.55,2.11
Sölvesborg,solvesborg,626,490,17468,17514,3.58,2.80
Habo,habo,175,186,12140,13128,1.44,1.42
Hällefors,hallefors,292,230,6983,6656,4.18,3.46
Nynäshamn,nynashamn,831,925,28290,30043,2.94,3.08
Luleå,lulea,2432,1953,77832,79244,3.12,2.46
Södertälje,sodertalje,5428,5657,97381,102426,5.57,5.52
Essunga,essunga,115,140,5671,5717,2.03,2.45
Krokom,krokom,349,214,14858,15532,2.35,1.38
Strängnäs,strangnas,991,1109,35761,38526,2.77,2.88
Ystad,ystad,823,695,30226,31714,2.72,2.19
Ludvika,ludvika,1048,1022,26946,26353,3.89,3.88
Haparanda,haparanda,427,319,9785,9340,4.36,3.42
Sigtuna,sigtuna,1608,2207,48130,51876,3.34,4.25
Enköping,enkoping,1342,1539,44429,47848,3.02,3.22
Härryda,harryda,619,623,37802,39762,1.64,1.57
Båstad,bastad,361,326,14948,15824,2.42,2.06
Strömsund,stromsund,461,280,11703,11397,3.94,2.46
Osby,osby,492,435,13267,13238,3.71,3.29
Sala,sala,751,734,22816,22981,3.29,3.19
Oxelösund,oxelosund,576,441,12062,12086,4.78,3.65
Surahammar,surahammar,283,290,10088,10033,2.81,2.89
Åre,are,392,257,11529,12330,3.40,2.08
Olofström,olofstrom,648,495,13516,13159,4.79,3.76
Norrköping,norrkoping,7434,6501,141676,145120,5.25,4.48
Solna,solna,1848,2036,80950,85450,2.28,2.38
Norrtälje,norrtalje,1264,1484,61769,65587,2.05,2.26
Höör,hoor,433,395,16637,17297,2.60,2.28
Skellefteå,skelleftea,2013,1237,72467,74402,2.78,1.66
Mora,mora,339,382,20390,20679,1.66,1.85
Finspång,finspang,989,813,21758,21903,4.55,3.71
Forshaga,forshaga,312,318,11518,11578,2.71,2.75
Mullsjö,mullsjo,138,139,7324,7532,1.88,1.85
Vadstena,vadstena,202,161,7514,7481,2.69,2.15
Ulricehamn,ulricehamn,537,458,24445,25108,2.20,1.82
Högsby,hogsby,369,222,6094,5584,6.06,3.98
Ljungby,ljungby,829,715,28573,28483,2.90,2.51
Hallsberg,hallsberg,569,439,15954,16290,3.57,2.69
Arjeplog,arjeplog,100,48,2794,2667,3.58,1.80
Falköping,falkoping,1301,1044,33155,33252,3.92,3.14
Vännäs,vannas,234,187,8785,8963,2.66,2.09
Hjo,hjo,217,174,9176,9243,2.36,1.88
Herrljunga,herrljunga,189,180,9494,9517,1.99,1.89
Vansbro,vansbro,110,119,6807,6800,1.62,1.75
Lysekil,lysekil,354,364,14611,14170,2.42,2.57
Dals-Ed,dals-ed,118,106,4806,4650,2.46,2.28
