kommun,kommun_normalized,population_2018,population_2022
Vaxholm,vaxholm,12023,11899
Vellinge,vellinge,36499,37821
Vetlanda,vetlanda,27504,27673
Vilhelmina,vilhelmina,6752,6393
Vimmerby,vimmerby,15764,15557
Vindeln,vindeln,5436,5504
Vingåker,vingaker,9136,8981
Vårgårda,vargarda,11658,12268
Vänersborg,vanersborg,39411,39904
Vännäs,vannas,8785,8963
Värmdö,varmdo,44397,46457
Värnamo,varnamo,34428,34692
Västervik,vastervik,36680,36650
Västerås,vasteras,152078,158653
Växjö,vaxjo,92567,97137
Ydre,ydre,3743,3683
Ystad,ystad,30226,31714
Åmål,amal,12720,12216
Ånge,ange,9411,9143
Åre,are,11529,12330
Årjäng,arjang,10011,9914
Åsele,asele,2819,2782
Åstorp,astorp,15987,16341
Åtvidaberg,atvidaberg,11537,11506
Älmhult,almhult,17568,18092
Älvdalen,alvdalen,7121,7018
Älvkarleby,alvkarleby,9392,9625
Älvsbyn,alvsbyn,8140,7911
Ängelholm,angelholm,42131,44268
Öckerö,ockero,12945,12800
Ödeshög,odeshog,5323,5317
Örebro,orebro,153367,158057
Örkelljunga,orkelljunga,10174,10455
Örnsköldsvik,ornskoldsvik,56089,55557
Östersund,ostersund,63227,64714
Österåker,osteraker,44831,49138
Östhammar,osthammar,22048,22344
Östra Göinge,ostra goinge,14915,14577
Överkalix,overkalix,3302,3160
Övertorneå,overtornea,4410,4119
